"RecordSpec","DataKubun","MakeDate","Year","MonthDay","JyoCD","Kaiji","Nichiji","RaceNum","YoubiCD","TokuNum","Hondai","Fukudai","Kakko","HondaiEng","FukudaiEng","KakkoEng","Ryakusyo10","Ryakusyo6","Ryakusyo3","Kubun","Nkai","GradeCD","SyubetuCD","KigoCD","JyuryoCD","JyokenCD1","JyokenCD2","JyokenCD3","JyokenCD4","JyokenCD5","Kyori","TrackCD","CourseKubunCD","HandiDate","TorokuTosu"
"TK","2","20240115","2024","0120","06","01","06","09","1","0000","初茜賞","","","HATSUAKANE SHO","","","初茜賞","初茜賞","初茜賞","0","000","E","14","023","4","000","000","010","010","010","1800","24","","00000000","017",
"TK","2","20240115","2024","0120","06","01","06","10","1","0000","東雲賞","","","SHINONOME SHO","","","東雲賞","東雲賞","東雲賞","0","000","E","14","A03","4","000","000","010","010","010","1800","17","C","00000000","014",
"TK","2","20240115","2024","0120","06","01","06","11","1","0000","初富士ステークス","","","HATSUFUJI STAKES","","","初富士ステークス","初富士Ｓ","初富士","0","000","E","14","A03","1","000","000","016","016","016","2000","17","C","20240115","014",
"TK","2","20240115","2024","0120","08","01","06","09","1","0000","若駒ステークス","","","WAKAGOMA STAKES","","","若駒ステークス","若駒Ｓ","若駒Ｓ","0","000","L","12","N04","2","000","999","000","000","999","2000","17","B","00000000","011",
"TK","2","20240115","2024","0120","08","01","06","10","1","0000","宇治川特別","","","UJIGAWA TOKUBETSU","","","宇治川特別","宇治川特別","宇治川","0","000","E","14","003","4","000","000","010","010","010","1800","24","","00000000","019",
"TK","2","20240115","2024","0120","08","01","06","11","1","0000","石清水ステークス","","","IWASHIMIZU STAKES","","","石清水ステークス","石清水Ｓ","石清水","0","000","E","14","A03","1","000","000","016","016","016","1600","18","B","20240115","017",
"TK","2","20240115","2024","0120","10","01","03","09","1","0000","萌黄賞","","","MOEGI SHO","","","萌黄賞","萌黄賞","萌黄賞","0","000","E","12","A04","3","000","005","000","000","005","1200","17","A","00000000","008",
"TK","2","20240115","2024","0120","10","01","03","10","1","0000","戸畑特別","","","TOBATA TOKUBETSU","","","戸畑特別","戸畑特別","戸畑特","0","000","E","14","003","4","000","000","005","005","005","2000","17","A","00000000","041",
"TK","2","20240115","2024","0120","10","01","03","11","1","0000","和布刈特別","","","MEKARI TOKUBETSU","","","和布刈特別","和布刈特別","和布刈","0","000","E","14","A03","4","000","000","010","010","010","1700","24","","00000000","017",
"TK","2","20240115","2024","0121","06","01","07","09","2","0000","若竹賞","","","WAKATAKE SHO","","","若竹賞","若竹賞","若竹賞","0","000","E","12","A04","3","000","005","000","000","005","1800","17","C","00000000","012",
"TK","2","20240115","2024","0121","06","01","07","10","2","0000","アレキサンドライトステークス","","","ALEXANDRITE STAKES","","","アレキサンドライトＳ","アレキサンド","アレキ","0","000","E","14","A04","4","000","000","016","016","016","1800","24","","00000000","021",
"TK","2","20240115","2024","0121","06","01","07","11","2","0021","アメリカジョッキークラブカップ","","","THE AMERICAN JOCKEY CLUB CUP","","","アメリカジョッキーＣ","ＡＪＣＣ","ＡＪＣ","1","065","B","14","N04","2","000","000","999","999","999","2200","18","C","00000000","013",
"TK","2","20240115","2024","0121","08","01","07","09","2","0000","北大路特別","","","KITAOJI TOKUBETSU","","","北大路特別","北大路特別","北大路","0","000","E","14","023","4","000","000","010","010","010","2000","17","B","00000000","011",
"TK","2","20240115","2024","0121","08","01","07","10","2","0000","羅生門ステークス","","","RASHOMON STAKES","","","羅生門ステークス","羅生門Ｓ","羅生門","0","000","E","14","A04","4","000","000","016","016","016","1200","24","","00000000","022",
"TK","2","20240115","2024","0121","08","01","07","11","2","0106","東海テレビ杯東海ステークス","","","THE TOKAI TV HAI TOKAI STAKES","","","東海テレビ杯東海Ｓ","東海Ｓ","東海Ｓ","1","041","B","14","N01","2","000","000","999","999","999","1800","24","","00000000","017",
"TK","2","20240115","2024","0121","10","01","04","09","2","0000","八幡特別","","","YAHATA TOKUBETSU","","","八幡特別","八幡特別","八幡特","0","000","E","14","A03","4","000","000","005","005","005","1200","17","A","00000000","031",
"TK","2","20240115","2024","0121","10","01","04","10","2","0000","海の中道特別","","","UMINONAKAMICHI TOKUBETSU","","","海の中道特別","海の中道特別","海中道","0","000","E","14","A04","4","000","000","010","010","010","2600","17","A","00000000","013",
"TK","2","20240115","2024","0121","10","01","04","11","2","0000","豊前ステークス","","","BUZEN STAKES","","","豊前ステークス","豊前Ｓ","豊前Ｓ","0","000","E","14","A03","1","000","000","016","016","016","1700","24","","20240115","023",
